name,actual,predicted
stand1,28913,40072.0


stand1,28913,37034.0


stand1,28913,38062.0


stand1,28913,37863.0


stand1,28913,37074.0


stand1,28913,38166.0


stand1,28913,35758.0


stand1,28913,36217.0


stand1,28913,37491.0


stand1,28913,35739.0


stand1,28913,39846.0


stand1,28913,38677.0


stand1,28913,39536.0


stand1,28913,37619.0


stand1,28913,35939.0


stand1,28913,38068.0


stand1,28913,34343.0


stand1,28913,35509.0


stand1,28913,37459.0


stand1,28913,36756.0


stand1,28913,42288.0


stand1,28913,36742.0


stand1,28913,39399.0


stand1,28913,39924.0


stand1,28913,35859.0


stand1,28913,39358.0


stand1,28913,38049.0


stand1,28913,41347.0


stand1,28913,40373.0


stand1,28913,40289.0


stand1,28913,38701.0


stand1,28913,38968.0


stand1,28913,36802.0


stand1,28913,37501.0


stand1,28913,40785.0


stand1,28913,39404.0


stand1,28913,37701.0


stand1,28913,38733.0


stand1,28913,37728.0


stand1,28913,37688.0


stand1,28913,39154.0


stand1,28913,38603.0


stand1,28913,39922.0


stand1,28913,39956.0


stand1,28913,37079.0


stand1,28913,37853.0


stand1,28913,41760.0


stand1,28913,38050.0


stand1,28913,41643.0


stand1,28913,36986.0


stand1,28913,38514.0


stand1,28913,38729.0


stand1,28913,36624.0


stand1,28913,38025.0


stand1,28913,39317.0


stand1,28913,41624.0


stand1,28913,35017.0


stand1,28913,41635.0


stand1,28913,36458.0


stand1,28913,37485.0


stand1,28913,41151.0


stand1,28913,35428.0


stand1,28913,36785.0


stand1,28913,39046.0


stand1,28913,40401.0


stand1,28913,34994.0


stand1,28913,38657.0


stand1,28913,39864.0


stand1,28913,37661.0


stand1,28913,39036.0


stand1,28913,40369.0


stand1,28913,37417.0


stand1,28913,35482.0


stand1,28913,37522.0


stand1,28913,36373.0


stand1,28913,35140.0


stand1,28913,40058.0


stand1,28913,38533.0


stand1,28913,36935.0


stand1,28913,35811.0


stand1,28913,38025.0


stand1,28913,39746.0


stand1,28913,39798.0


stand1,28913,36171.0


stand1,28913,40440.0


stand1,28913,37374.0


stand1,28913,41349.0


stand1,28913,38420.0


stand1,28913,38054.0


stand1,28913,35180.0


stand1,28913,34735.0


stand1,28913,41975.0


stand1,28913,38504.0


stand1,28913,40568.0


stand1,28913,38616.0


stand1,28913,36614.0


stand1,28913,37331.0


stand1,28913,36834.0


stand1,28913,37167.0


stand1,28913,35167.0


stand1,28913,38220.0


stand1,28913,37507.0


stand1,28913,35396.0


stand1,28913,38723.0


stand1,28913,37092.0


stand1,28913,42379.0


stand1,28913,41601.0


stand1,28913,35962.0


stand1,28913,36556.0


stand1,28913,38989.0


stand1,28913,37197.0


stand1,28913,37694.0


stand1,28913,34925.0


stand1,28913,37339.0


stand1,28913,36308.0


stand1,28913,38570.0


stand1,28913,37720.0


